,country,year,contamination_ml,population_ml,PBI_ml,forest_ml,wage_ml,life_expect_ml
148,Czech Republic,2011,896.528,85225279.07499999,1043364582771750.0,57861.717,216219.8863574116,78.0
149,Czech Republic,2012,882.706,85211916.155,649227731352550.0,57294.698,218290.3317131371,78.2
150,Czech Republic,2013,883.0889999999999,85127941.22500001,664262778160550.0,58053.706,216838.8756825,78.3
151,Czech Republic,2014,843.176,85176080.14099997,164220473991650.0,58513.708,221992.88944190278,78.9
152,Czech Republic,2015,825.654,85253289.06100002,4595783.0,60001.741,228166.96785607678,78.7
153,Czech Republic,2016,820.002,85349336.01600003,78560309700.0,63430.801,236536.22512414798,79.1
154,Czech Republic,2017,818.982,85451485.098,5047267.0,67492.876,249077.49883853368,79.1
155,Denmark,1990,713.415,40945767.126,16471545.945106,9774.359,187441.04733455306,74.9
156,Denmark,1991,743.4839999999999,41069663.79600001,15659570.580052,1664.0,190194.82148009734,75.3
157,Denmark,1992,725.4889999999999,41220140.570999995,16545492.192797,1666.0,197614.56146019007,75.3
158,Denmark,1993,711.791,41386307.60800001,16310764.562920999,1546.0,200553.72355257478,75.2
159,Denmark,1994,671.576,41541030.982,15704568.347251998,1611.0,195216.39153437698,75.5
160,Denmark,1995,638.675,41754344.43300001,16298370.84069,1675.0,200696.62197250975,75.3
161,Denmark,1996,617.096,42051579.662999995,16710706.494617002,6400.51,205673.08187773722,75.7
162,Denmark,1997,570.7080000000001,42263602.802999996,16589115.729048999,1580.0,210469.454790891,76.1
163,Denmark,1998,533.361,42424824.021,15328715.138638001,1487.0,215453.61476377634,76.5
164,Denmark,1999,485.091,42580093.42699999,15696835.520560998,1492.0,219491.868658493,76.6
165,Denmark,2000,464.718,42737092.864,13842643.683026,10764.593,221790.72927050584,76.9
166,Denmark,2001,454.85900000000004,42887848.543,13431981.348599,1559.0,225380.26212973948,77.0
167,Denmark,2002,431.66,43049104.55799998,10917246.319022,1397.0,232306.76611905041,77.1
168,Denmark,2003,433.75300000000004,43170374.647,11317834.97823,1572.0,239282.90266352243,77.4
169,Denmark,2004,416.95099999999996,43301058.94900001,10856421.010352999,1623.0,245849.60055684616,77.8
170,Denmark,2005,417.58099999999996,43442553.40400001,8949988.067362,9709.731000000002,251787.61288726,78.3
171,Denmark,2006,404.916,43619000.10199998,7547541.956319001,2043.0,258456.96188934936,78.4
172,Denmark,2007,407.67,43821155.02999998,6077583.403894001,2217.0,263222.10940177797,78.4
173,Denmark,2008,386.144,44083760.348000005,3227516.39023,2062.0,270115.33410314354,78.8
174,Denmark,2009,353.504,44326823.842,2034059.1303619999,2091.0,278202.74603389093,79.0
175,Denmark,2010,345.82199999999995,44522051.527,1910013.5134,10098.577000000001,284483.0289321885,79.3
176,Denmark,2011,304.39799999999997,44702835.172,1935546.1496,2231.0,285987.96415529435,79.9
177,Denmark,2012,286.673,44873506.632999994,1939930.1577,23725.593,288658.129722096,80.1
178,Denmark,2013,272.656,45066397.635000005,1958036.3204,18035.606,291617.8048999909,80.4
179,Denmark,2014,249.07299999999998,45350674.21299999,1989744.6395,19761.564,298026.16010596236,80.8
180,Denmark,2015,253.252,45695316.541999996,2036356.207,18493.523,303810.1172711708,80.8
181,Denmark,2016,243.28400000000002,46098242.80600002,2107808.2180000003,17533.58,309176.1293546444,80.9
182,Denmark,2017,240.575,46423066.94999999,2175105.8,16962.796,309196.5884979009,81.2
186,Estonia,1993,159.841,11849556.228,16796.3229,3415.292,106881.94725987306,68.2
187,Estonia,1994,162.554,11603136.477999996,16520.4559,5085.519,56303.286950366106,66.8
188,Estonia,1995,212.16400000000002,11400958.624999994,17268.2844,15087.767,5724.626640859147,67.9
189,Estonia,1996,244.851,11241526.664,18120.6421,6189.383000000001,6112.433658193936,69.9
190,Estonia,1997,247.885,11127076.595999999,20484.7579,9033.464,6774.586804254232,70.1
191,Estonia,1998,218.75799999999998,11038024.321000002,21371.8085,9811.155999999999,7259.187707587381,69.7
192,Estonia,1999,202.99200000000002,10976841.822,21285.5872,21720.845999999998,7583.408779171547,70.6
193,Estonia,2000,198.565,11179993.382,23436.8191,34069.704000000005,8204.074628002723,71.0
194,Estonia,2001,200.412,11125043.026999999,24836.0583,37905.619,8610.33054042416,70.9
195,Estonia,2002,189.953,11070012.863,26525.5041,33276.482,9193.721725815672,71.4
